courseInfo.courseID,courseInfo.courseNumber,courseInfo.courseName,courseInfo.sections,courseInfo.departmentName
79619,AD53P,AP-Chemistry Lab PM,0,
79620,AE34Y,SpanSpanSpkrsYr3,0,
79621,AM99Y,Zero Period Intro to Fitness,0,
79622,AZ18Y,LEAP,12,
79623,AZ99Y,AVID Senior Seminar (P),0,
79624,BB54F,Popular Culture: Inventing Hip,1,
79625,BB54S,Popular Culture: Inventing Hip,0,
79626,BB55F,Black Gold and Black Soul (P),1,
79627,BB55S,Black Gold and Black Soul (P),0,
79628,BE11Y,Kiswahili I,0,
79629,BE12Y,Kiswahili II,0,
79630,BE13Y,Kiswahili III,0,
79631,DC84Y,AMP-AP-Statistics (AP),0,
79632,EA54S,ELD 1,0,
79633,EC11Y,EL Math 1 -Newcomer,0,
79634,HD01F,AHA-Physics 1 (P),0,
79635,HD01S,AHA-Physics 1 (P),0,
79636,HD91F,AHA-BEST Science(P),0,
79637,HD91S,AHA-BEST Science(P),0,
79638,HH002,Home Hospital Instruction,0,
79639,ID01Y,IHS-Physics 1 (P),0,
79640,LA09Y,Chicano Latino Literature Stud,1,
79641,MB21Y,Personal Finance,3,
79642,NS000,NO SELECTION,0,
79643,TC03X,BTch-Math 3,0,
79644,UC40Q,ISP-AP-Stat Qtr,0,
79645,UC42S,ISP-AP-Stat,0,
79646,UD50S,ISP-Chemistry A (P),0,
79647,UD51S,ISP-Chemistry B (P),0,
79648,UE31Q,ISP-SpanNatSpkrs 1/2 (P),0,
79649,UE32Q,ISP-SpanNatSpkrs 1 A (P),0,
79650,UE33Q,ISP-SpanNatSpkrs 1 B (P),0,
79651,UE34Q,ISP-SpanNatSpkrs 2 A (P),0,
79652,UE35Q,ISP-SpanNatSpkrs 2 B (P),0,
79653,UE41Y,ISP-Mandarin I,0,
79654,UE42Y,ISP-Mandarin II,0,
79655,UE61Y,ISP Spanish I,0,
79656,UE62Y,ISP Spanish II,0,
79657,UE63Y,ISP Spanish III,0,
79658,UE64Y,ISP Spanish IV,0,
79659,UE65Y,ISP AP Spanish,0,
79660,UE66Y,ISP SpanNatSpkrs I,0,
79661,UE67Y,ISP SpanNatSpkrs  III,0,
